The start time is: Sun, 19 Jun 2022 15:20:23
Input file: C:\Users\Sumpaame\Desktop\FYP\PubChem_compound_2100.sdf
Output file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\output.txt
Report file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\report.txt

ReadIn_ID	USER_ID	Status	Time(s)
272		Ok	0.016
271		Ok	0
270		Ok	0.078
269		Ok	0.016
268		Ok	0.015
267		Ok	0.063
266		Subgroup deleted	0
265		Ok	0.015
264		Ok	0
263		Ok	0.063
262		Ok	0.015
261		Ok	0.016
260		Ok	0
259		Ok	0.063
258		Ok	0.015
257		Ok	0
256		Ok	0.016
255		Ok	0.062
254		Ok	0.016
253		Ok	0
252		Ok	0.015
251		Ok	0
250		Ok	0.079
249		Ok	0.015
248		Ok	0.094
247		Ok	0.016
246		Ok	0.078
245		Ok	0.015
244		Ok	0.063
243		Ok	0
242		Ok	0.015
241		Ok	0.016
240		Ok	0.047
239		Ok	0.016
238		Ok	0.015
237		Ok	0.063
236		Ok	0.015
235		Ok	0.047
234		Ok	0.032
233		Ok	0.062
232		Ok	0.016
231		Ok	0.046
230		Ok	0.079
229		Subgroup deleted	0.093
228		Subgroup deleted	0
227		Ok	0.063
226		Subgroup deleted	0.015
225		Subgroup deleted	0.016
224		Ok	0.063
223		Ok	0.078
222		Ok	0.062
221		Ok	0.032
220		Ok	0.046
219		Ok	0.079
218		Ok	0.062
217		Ok	0.031
216		Ok	0.063
215		Ok	0.078
214		Ok	0.031
213		Ok	0.438
212		Ok	0.047
211		Ok	0.031
210		Ok	0.032
209		Ok	0.031
208		Ok	0.016
207		Ok	0.031
206		Ok	0.015
205		Ok	0.016
204		Ok	0.125
203		Ok	0.031
202		Ok	0.016
201		Ok	0.062
200		Ok	0.11
199		Ok	0.062
198		Ok	0.157
197		Ok	0.078
196		Ok	0.078
195		Ok	0.094
194		Ok	0.062
193		Ok	0.063
192		Ok	0.046
191		Ok	0.063
190		Ok	0.016
189		Ok	0.062
188		Ok	0.063
187		Ok	0.015
186		Ok	0.094
185		Ok	0.016
184		Ok	0.078
183		Ok	0.078
182		Ok	0.031
181		Ok	0.078
180		Ok	0.063
179		Ok	0.031
178		Ok	0.078
177		Ok	0.016
176		Ok	0.078
175		Subgroup deleted	0.062
174		Ok	0.032
173		Subgroup deleted	0.062
172		Subgroup deleted	0
171		Ok	0.016
170		Subgroup deleted	0.015
169		Subgroup deleted	0.141
168		Subgroup deleted	0.016
167		Ok	0.062
166		Ok	0.012
165		Subgroup deleted	0.009
164		Subgroup deleted	0.063
163		Subgroup deleted	0.045
162		Ok	0.028
161		Ok	0.141
160		Ok	0.016
159		Ok	0.078
158		Ok	0.25
157		Ok	0.016
156		Ok	0.062
155		Ok	0.031
154		Ok	0.063
153		Ok	0.078
152		Ok	0.016
151		Subgroup deleted	0.015
150		Ok	0
149		Ok	0.25
148		Ok	0.109
147		Ok	0.063
146		Ok	0.047
145		Ok	0.031
144		Ok	0.063
143		Ok	0.031
142		Ok	0.062
141		Ok	0.016
140		Subgroup deleted	0.094
139		Subgroup deleted	0
138		Subgroup deleted	0.015
137		Subgroup deleted	0.157
136		Subgroup deleted	0.046
135		Ok	0.047
134		Ok	0.063
133		Ok	0.047
132		Ok	0.015
131		Ok	0.016
130		Ok	0.031
129		Ok	0.016
128		Ok	0
127		Ok	0.016
126		Ok	0.031
125		Ok	0
124		Ok	0.031
123		Ok	0.078
122		Ok	0.078
121		Ok	0.078
120		Ok	0.047
119		Ok	0.016
118		Ok	0
117		Ok	0.078
116		Ok	0
115		Ok	0.031
114		Ok	0
113		Ok	0.36
112		Ok	0.015
111		Ok	0.016
110		Ok	0.078
109		Ok	0
108		Subgroup deleted	0.094
107		Ok	0.016
106		Ok	0.062
105		Ok	0.016
104		Ok	0.015
103		Ok	0.047
102		Ok	0.031
101		Ok	0.063
100		Ok	0.031
99		Ok	0
98		Subgroup deleted	0.047
97		Ok	0.016
96		Ok	0
95		Subgroup deleted	0.015
94		Ok	0.063
93		Ok	0.014
92		Ok	0.052
91		Ok	0.016
90		Ok	0.048
89		Ok	0.024
88		Ok	0.066
87		Ok	0.015
86		Ok	0.063
85		Ok	0
84		Ok	0.015
83		Ok	0.016
82		Ok	0
81		Ok	0.047
80		Ok	0.016
79		Ok	0.015
78		Ok	0
77		Ok	0.078
76		Ok	0
75		Ok	0.079
74		Ok	0.031
73		Ok	0.047
72		Ok	0.031
71		Ok	0.062
70		Ok	0
69		Ok	0.032
68		Ok	0.078
67		Ok	0.015
66		Ok	0.063
65		Ok	0.016
64		Ok	0.078
63		Ok	0.015
62		Ok	0.016
61		Ok	0.047
60		Ok	0.031
59		Ok	0
58		Ok	0.078
57		Ok	0.016
56		Ok	0.015
55		Ok	0.078
54		Ok	0
53		Ok	0.063
52		Ok	0.031
51		Subgroup deleted	0
50		Ok	0.063
49		Ok	0.015
48		Ok	0.016
47		Ok	0.047
46		Ok	0.031
45		Ok	0.031
44		Ok	0.016
43		Ok	0.078
42		Ok	0.016
41		Ok	0.125
40		Ok	0.015
39		Ok	0.016
38		Ok	0.062
37		Ok	0.032
36		Ok	0.062
35		Ok	0
34		Ok	0.047
33		Ok	0.016
32		Ok	0.047
31		Ok	0
30		Ok	0.015
29		Ok	0.047
28		Ok	0
27		Ok	0.016
26		Ok	0.015
25		Ok	0.032
24		Ok	0.015
23		Ok	0.016
22		Ok	0
21		Ok	0.062
20		Ok	0.032
19		Ok	0.078
18		Ok	0.015
17		Ok	0.063
16		Ok	0.062
15		Ok	0.032
14		Ok	0.109
13		Ok	0.391
12		Ok	0.047
11		Ok	0.016
10		Ok	0.062
9		Ok	0.032
8		Ok	0.046
7		Subgroup deleted	0
6		Ok	0.032
5		Ok	0.078
4		Ok	0
3		Ok	0.015
2		Ok	0.235
1		Subgroup deleted	0.047

The finish time is: Sun, 19 Jun 2022 15:20:32
